funcion,n,tiempo
sumar_valores_diccionario,1000,0.00000
sumar_numpy_array,1000,0.00000
sumar_pandas_series,1000,0.00101
sumar_lista,10000,0.00100
sumar_tupla,10000,0.00100
sumar_objeto,10000,0.00400
sumar_usando_yield,10000,0.00100
sumar_conjunto,10000,0.00000
sumar_valores_diccionario,10000,0.00000
sumar_numpy_array,10000,0.00000
sumar_pandas_series,10000,0.00100
sumar_lista,100000,0.00601
