funcion,n,tiempo
sumar_lista,1000000,0.054276227951049805
sumar_tupla,1000000,0.08530068397521973
sumar_objeto,1000000,1.3779830932617188
sumar_usando_yield,1000000,0.06362271308898926
sumar_conjunto,1000000,0.09777688980102539
sumar_valores_diccionario,1000000,0.1403956413269043
sumar_numpy_array,1000000,0.002065420150756836
sumar_pandas_series,1000000,0.002537250518798828
sumar_polars_series,1000000,0.12394118309020996
sumar_lista,5000000,0.47042417526245117
sumar_tupla,5000000,0.5144362449645996
sumar_objeto,5000000,6.136805534362793
sumar_usando_yield,5000000,0.21085834503173828
sumar_conjunto,5000000,0.30341434478759766
sumar_valores_diccionario,5000000,0.4796559810638428
sumar_numpy_array,5000000,0.010332345962524414
sumar_pandas_series,5000000,0.009668111801147461
sumar_polars_series,5000000,0.304440975189209
sumar_lista,10,5.4836273193359375e-06
sumar_tupla,10,6.4373016357421875e-06
sumar_objeto,10,3.314018249511719e-05
sumar_usando_yield,10,3.5762786865234375e-06
sumar_conjunto,10,3.0994415283203125e-06
sumar_valores_diccionario,10,5.245208740234375e-06
sumar_numpy_array,10,6.771087646484375e-05
sumar_pandas_series,10,0.0002391338348388672
sumar_polars_series,10,0.0002276897430419922
sumar_lista,1000,3.933906555175781e-05
sumar_tupla,1000,5.7220458984375e-05
sumar_objeto,1000,0.0002930164337158203
sumar_usando_yield,1000,4.2438507080078125e-05
sumar_conjunto,1000,3.552436828613281e-05
sumar_valores_diccionario,1000,6.699562072753906e-05
sumar_numpy_array,1000,3.409385681152344e-05
sumar_pandas_series,1000,0.0002071857452392578
sumar_polars_series,1000,0.00023698806762695312
sumar_lista,10000,0.00033283233642578125
sumar_tupla,10000,0.00047278404235839844
sumar_objeto,10000,0.003004789352416992
sumar_usando_yield,10000,0.00043773651123046875
sumar_conjunto,10000,0.0006062984466552734
sumar_valores_diccionario,10000,0.0010223388671875
sumar_numpy_array,10000,6.532669067382812e-05
sumar_pandas_series,10000,0.0003032684326171875
sumar_polars_series,10000,0.0006964206695556641
sumar_lista,100000,0.0033941268920898438
sumar_tupla,100000,0.004885196685791016
sumar_objeto,100000,0.08627891540527344
sumar_usando_yield,100000,0.00419926643371582
sumar_conjunto,100000,0.00443577766418457
sumar_valores_diccionario,100000,0.011216878890991211
sumar_numpy_array,100000,0.0002231597900390625
sumar_pandas_series,100000,0.00035953521728515625
sumar_polars_series,100000,0.004190206527709961
sumar_lista,1000000,0.04866814613342285
sumar_tupla,1000000,0.08637309074401855
sumar_objeto,1000000,1.0893487930297852
sumar_usando_yield,1000000,0.04889655113220215
sumar_conjunto,1000000,0.09836769104003906
sumar_valores_diccionario,1000000,0.14550256729125977
sumar_numpy_array,1000000,0.002508401870727539
sumar_pandas_series,1000000,0.0020220279693603516
sumar_polars_series,1000000,0.06992292404174805
