sumar_lista,10,: 3.337860107421875e-06
sumar_tupla,10,: 1.2874603271484375e-05
sumar_objeto,10,: 4.649162292480469e-05
sumar_usando_yield,10,: 3.695487976074219e-05
sumar_conjunto,10,: 7.152557373046875e-06
sumar_valores_diccionario,10,: 1.0251998901367188e-05
sumar_numpy_array,10,: 6.818771362304688e-05
sumar_pandas_series,10,: 0.00036644935607910156
sumar_polars_series,10,: 0.0001850128173828125
sumar_lista,1000,: 8.559226989746094e-05
sumar_tupla,1000,: 0.0001347064971923828
sumar_objeto,1000,: 0.0008609294891357422
sumar_usando_yield,1000,: 0.0001163482666015625
sumar_conjunto,1000,: 6.318092346191406e-05
sumar_valores_diccionario,1000,: 0.00012159347534179688
sumar_numpy_array,1000,: 5.316734313964844e-05
sumar_pandas_series,1000,: 0.00031304359436035156
sumar_polars_series,1000,: 0.0002512931823730469
sumar_lista,10000,: 0.0006928443908691406
sumar_tupla,10000,: 0.001104593276977539
sumar_objeto,10000,: 0.006922483444213867
sumar_usando_yield,10000,: 0.0011782646179199219
sumar_conjunto,10000,: 0.0006785392761230469
sumar_valores_diccionario,10000,: 0.0011699199676513672
sumar_numpy_array,10000,: 8.416175842285156e-05
sumar_pandas_series,10000,: 0.0003871917724609375
sumar_polars_series,10000,: 0.0008788108825683594
sumar_lista,100000,: 0.006090402603149414
sumar_tupla,100000,: 0.00432896614074707
sumar_objeto,100000,: 0.03411579132080078
sumar_usando_yield,100000,: 0.003751516342163086
sumar_conjunto,100000,: 0.0034027099609375
sumar_valores_diccionario,100000,: 0.005994558334350586
sumar_numpy_array,100000,: 0.0001857280731201172
sumar_pandas_series,100000,: 0.0005121231079101562
sumar_polars_series,100000,: 0.0032837390899658203
sumar_lista,1000000,: 0.041249752044677734
sumar_tupla,1000000,: 0.059568166732788086
sumar_objeto,1000000,: 0.9788999557495117
sumar_usando_yield,1000000,: 0.03768205642700195
sumar_conjunto,1000000,: 0.06180167198181152
sumar_valores_diccionario,1000000,: 0.0876467227935791
sumar_numpy_array,1000000,: 0.0012812614440917969
sumar_pandas_series,1000000,: 0.0014543533325195312
sumar_polars_series,1000000,: 0.050221920013427734
sumar_lista,5000000,: 0.21554160118103027
sumar_tupla,5000000,: 0.31833553314208984
sumar_objeto,5000000,: 4.510956287384033
sumar_usando_yield,5000000,: 0.1867988109588623
sumar_conjunto,5000000,: 0.3174557685852051
sumar_valores_diccionario,5000000,: 0.46164464950561523
sumar_numpy_array,5000000,: 0.0060350894927978516
sumar_pandas_series,5000000,: 0.0061070919036865234
sumar_polars_series,5000000,: 0.2507944107055664
sumar_lista,10,: 8.344650268554688e-06
sumar_tupla,10,: 5.7220458984375e-06
sumar_objeto,10,: 2.6702880859375e-05
sumar_usando_yield,10,: 3.814697265625e-06
sumar_conjunto,10,: 3.337860107421875e-06
sumar_valores_diccionario,10,: 5.4836273193359375e-06
sumar_numpy_array,10,: 5.1975250244140625e-05
sumar_pandas_series,10,: 0.00021529197692871094
sumar_polars_series,10,: 9.942054748535156e-05
sumar_lista,1000,: 4.100799560546875e-05
sumar_tupla,1000,: 6.0558319091796875e-05
sumar_objeto,1000,: 0.00033736228942871094
sumar_usando_yield,1000,: 4.076957702636719e-05
sumar_conjunto,1000,: 3.528594970703125e-05
sumar_valores_diccionario,1000,: 6.29425048828125e-05
sumar_numpy_array,1000,: 3.719329833984375e-05
sumar_pandas_series,1000,: 0.00020623207092285156
sumar_polars_series,1000,: 0.00013017654418945312
sumar_lista,10000,: 0.00029349327087402344
sumar_tupla,10000,: 0.00043964385986328125
sumar_objeto,10000,: 0.0029096603393554688
sumar_usando_yield,10000,: 0.0004432201385498047
sumar_conjunto,10000,: 0.0002880096435546875
sumar_valores_diccionario,10000,: 0.00043463706970214844
sumar_numpy_array,10000,: 6.771087646484375e-05
sumar_pandas_series,10000,: 0.000301361083984375
sumar_polars_series,10000,: 0.0003788471221923828
sumar_lista,100000,: 0.0025267601013183594
sumar_tupla,100000,: 0.0044612884521484375
sumar_objeto,100000,: 0.034607648849487305
sumar_usando_yield,100000,: 0.003976106643676758
sumar_conjunto,100000,: 0.003170013427734375
sumar_valores_diccionario,100000,: 0.005760669708251953
sumar_numpy_array,100000,: 0.00015926361083984375
sumar_pandas_series,100000,: 0.0002849102020263672
sumar_polars_series,100000,: 0.003082752227783203
sumar_lista,1000000,: 0.04039311408996582
sumar_tupla,1000000,: 0.05891156196594238
sumar_objeto,1000000,: 0.3540616035461426
sumar_usando_yield,1000000,: 0.03902125358581543
sumar_conjunto,1000000,: 0.0617222785949707
sumar_valores_diccionario,1000000,: 0.09184384346008301
sumar_numpy_array,1000000,: 0.0015230178833007812
sumar_pandas_series,1000000,: 0.0017123222351074219
sumar_polars_series,1000000,: 0.05339860916137695
sumar_lista,5000000,: 0.20918893814086914
sumar_tupla,5000000,: 0.3128514289855957
sumar_objeto,5000000,: 4.224069833755493
sumar_usando_yield,5000000,: 0.187211275100708
sumar_conjunto,5000000,: 0.3265078067779541
sumar_valores_diccionario,5000000,: 0.4650382995605469
sumar_numpy_array,5000000,: 0.005784749984741211
sumar_pandas_series,5000000,: 0.005901813507080078
sumar_polars_series,5000000,: 0.24787473678588867
sumar_lista,10,: 7.3909759521484375e-06
sumar_tupla,10,: 5.7220458984375e-06
sumar_objeto,10,: 2.8133392333984375e-05
sumar_usando_yield,10,: 4.76837158203125e-06
sumar_conjunto,10,: 5.0067901611328125e-06
sumar_valores_diccionario,10,: 5.4836273193359375e-06
sumar_numpy_array,10,: 4.458427429199219e-05
